SHIPMENT ID,ORIGIN_CITY,OST,O_ZIP,DEST_CITY,DST,D_ZIP,CLASS,WEIGHT,CUBE,RETAIL SHIPMENT FLAG,LIFTGATE FLAG,Carrier 1,Carrier 2,Carrier 3,Carrier 4,Carrier 5,Carrier 6,Carrier 7,Carrier 8,Carrier 9,Carrier 10,Carrier 11,Carrier 12,Carrier 13,Carrier 14,Carrier 15,Carrier 16
100000837,ELKHART                    ,IN,46516,EAST WINDSOR               ,NJ,08512 ,70,769,65.73, Retail , Non-Liftgate ,$252.06 ,$0.00 ,$169.83 ,$303.75 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$493.21 ,$611.10 ,$245.04 ,$0.00 ,$138.82 
100000838,FORT WAYNE                 ,IN,46803,EAST WINDSOR               ,NJ,08512 ,70,880,73.33, Retail , Non-Liftgate ,$252.06 ,$0.00 ,$0.00 ,$316.68 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$514.58 ,$561.08 ,$257.71 ,$0.00 ,$144.86 
100000839,FONTANA                    ,CA,92335,TRACY                      ,CA,95304,50,969,32.3, Retail , Non-Liftgate ,$332.07 ,$0.00 ,$163.73 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$106.56 ,$0.00 ,$0.00 ,$217.21 ,$478.75 ,$0.00 ,$424.63 ,$0.00 ,$0.00 
100000840,PETALUMA                   ,CA,94954,TRACY                      ,CA,95304,70,"1,026",82.74, Retail , Non-Liftgate ,$332.07 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$194.50 ,$516.77 ,$0.00 ,$333.20 ,$0.00 ,$161.54 
100000841,DRESDEN                    ,TN,38225,HARTFORD                   ,CT,06107 ,50,585,25, Non-Retail , Liftgate Needed ,$0.00 ,"$1,915.03 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$365.85 ,$498.48 ,$278.74 ,$0.00 ,$150.82 
100000842,DRESDEN                    ,TN,38225,WILMER                     ,TX,75172,70,"1,275",126.24, Non-Retail , Liftgate Needed ,$405.46 ,$514.16 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$725.34 ,$0.00 ,$265.29 ,$0.00 ,$243.89 
100000843,DRESDEN                    ,TN,38225,JACKSON                    ,NJ,08527 ,55,252,22.3, Non-Retail , Liftgate Needed ,$250.92 ,$915.32 ,$230.96 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$226.24 ,$486.99 ,$278.74 ,$0.00 ,$145.44 
100000844,DRESDEN                    ,TN,38225,BELLEVUE                   ,WA,98004,50,855,29.9, Non-Retail , Non-Liftgate ,$351.69 ,"$3,636.79 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$635.74 ,$0.00 ,$819.91 ,$0.00 ,$299.93 
100000845,DRESDEN                    ,TN,38225,SEATTLE                    ,WA,98105,70,500,47.17, Non-Retail , Liftgate Needed ,$331.85 ,"$2,837.68 ",$507.32 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$506.77 ,$0.00 ,$734.75 ,$0.00 ,$239.09 
100000846,DRESDEN                    ,TN,38225,HINSDALE                   ,IL,60523,70,675,59.73, Non-Retail , Non-Liftgate ,$275.90 ,$285.02 ,$156.06 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$402.10 ,$0.00 ,$262.02 ,$0.00 ,$128.84 
